Timestamp,Gateway,Topic,Traffic,Message,Decoded-Payload
15:30:04.084819078,0001000000000001,PUSH_DATA,up,"{'phyPayload': 'QDgBAAIAAAABAAAAAAAAAAAAAAAAAAAAAAAAAABA3Kbt', 'ulID': '3f27', 'tmst': 1293732341, 'txInfo': {'frequency': 868.5, 'modulation': {'lora': {'bandwidth': 125000, 'spreadingFactor': 10, 'codeRate': '4/5'}}}, 'rxInfo': {'gatewayId': '0001000000000001', 'uplinkId': '3f27', 'time': '15:30:04.084819078', 'rssi': -121, 'snr': -3.6, 'context': 'unknown', 'crcStatus': 'unknown'}}","{'MHDR': {'MType': 2}, 'DevAddr': '38010002', 'FCtrl': 0, 'Fcnt': 0, 'FPort': 1, 'FRMPayload': '4948686d204ab0ea2fe5e0c2b0979545112b9ec6d25578b3'}"
15:30:04.089955806,0001000000000002,PUSH_DATA,up,"{'phyPayload': 'QDgBAAIAAAABAAAAAAAAAAAAAAAAAAAAAAAAAABA3Kbt', 'ulID': '3feb', 'tmst': 1293732137, 'txInfo': {'frequency': 868.5, 'modulation': {'lora': {'bandwidth': 125000, 'spreadingFactor': 10, 'codeRate': '4/5'}}}, 'rxInfo': {'gatewayId': '0001000000000002', 'uplinkId': '3feb', 'time': '15:30:04.089955806', 'rssi': -109, 'snr': 7.9, 'context': 'unknown', 'crcStatus': 'unknown'}}","{'MHDR': {'MType': 2}, 'DevAddr': '38010002', 'FCtrl': 0, 'Fcnt': 0, 'FPort': 1, 'FRMPayload': '4948686d204ab0ea2fe5e0c2b0979545112b9ec6d25578b3'}"
15:30:10.519808053,0001000000000001,PUSH_DATA,up,"{'phyPayload': 'QO0AAAIAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAJAS3m', 'ulID': 'eaf9', 'tmst': 1300161588, 'txInfo': {'frequency': 868.5, 'modulation': {'lora': {'bandwidth': 125000, 'spreadingFactor': 12, 'codeRate': '4/5'}}}, 'rxInfo': {'gatewayId': '0001000000000001', 'uplinkId': 'eaf9', 'time': '15:30:10.519808053', 'rssi': -127, 'snr': -10.0, 'context': 'unknown', 'crcStatus': 'unknown'}}","{'MHDR': {'MType': 2}, 'DevAddr': 'ed000002', 'FCtrl': 0, 'Fcnt': 0, 'FPort': 1, 'FRMPayload': '11ecd6727c2b18a0db262eed369da37c08ea8be1dde623eb'}"
15:30:11.154880046,0001000000000002,PUSH_DATA,up,"{'phyPayload': 'QDIBAAIAAAABAAAAAAAAAAAAAAAAAAAAAAAAAABOboAY', 'ulID': '46cc', 'tmst': 1300803593, 'txInfo': {'frequency': 868.5, 'modulation': {'lora': {'bandwidth': 125000, 'spreadingFactor': 12, 'codeRate': '4/5'}}}, 'rxInfo': {'gatewayId': '0001000000000002', 'uplinkId': '46cc', 'time': '15:30:11.154880046', 'rssi': -120, 'snr': -2.9, 'context': 'unknown', 'crcStatus': 'unknown'}}","{'MHDR': {'MType': 2}, 'DevAddr': '32010002', 'FCtrl': 0, 'Fcnt': 0, 'FPort': 1, 'FRMPayload': '1b0ab032e2e37f95081ee9f011b4659753883254b53170f3'}"
15:30:12.074645280,0001000000000001,PUSH_DATA,up,"{'phyPayload': 'QBUAAAIAAAABAAAAAAAAAAAAAAAAAAAAAAAAAADyRGne', 'ulID': '262c', 'tmst': 1301719424, 'txInfo': {'frequency': 868.5, 'modulation': {'lora': {'bandwidth': 125000, 'spreadingFactor': 12, 'codeRate': '4/5'}}}, 'rxInfo': {'gatewayId': '0001000000000001', 'uplinkId': '262c', 'time': '15:30:12.074645280', 'rssi': -126, 'snr': -9.2, 'context': 'unknown', 'crcStatus': 'unknown'}}","{'MHDR': {'MType': 2}, 'DevAddr': '15000002', 'FCtrl': 0, 'Fcnt': 0, 'FPort': 1, 'FRMPayload': '431b32ab3cd3f0146d9346b9c1579d59bfa630e136001d4c'}"
15:30:12.079538106,0001000000000003,PUSH_DATA,up,"{'phyPayload': 'QBUAAAIAAAABAAAAAAAAAAAAAAAAAAAAAAAAAADyRGne', 'ulID': 'b9a3', 'tmst': 1301719503, 'txInfo': {'frequency': 868.5, 'modulation': {'lora': {'bandwidth': 125000, 'spreadingFactor': 12, 'codeRate': '4/5'}}}, 'rxInfo': {'gatewayId': '0001000000000003', 'uplinkId': 'b9a3', 'time': '15:30:12.079538106', 'rssi': -129, 'snr': -11.7, 'context': 'unknown', 'crcStatus': 'unknown'}}","{'MHDR': {'MType': 2}, 'DevAddr': '15000002', 'FCtrl': 0, 'Fcnt': 0, 'FPort': 1, 'FRMPayload': '431b32ab3cd3f0146d9346b9c1579d59bfa630e136001d4c'}"
15:30:12.299513101,0001000000000001,PUSH_DATA,up,"{'phyPayload': 'QA4BAAIAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAApaPc/', 'ulID': 'b718', 'tmst': 1301946927, 'txInfo': {'frequency': 868.5, 'modulation': {'lora': {'bandwidth': 125000, 'spreadingFactor': 8, 'codeRate': '4/5'}}}, 'rxInfo': {'gatewayId': '0001000000000001', 'uplinkId': 'b718', 'time': '15:30:12.299513101', 'rssi': -119, 'snr': -2.3, 'context': 'unknown', 'crcStatus': 'unknown'}}","{'MHDR': {'MType': 2}, 'DevAddr': '0e010002', 'FCtrl': 0, 'Fcnt': 0, 'FPort': 1, 'FRMPayload': '2e316fee9cef652d4e592f57b155dc520eedebcc75f5f5c4'}"
15:30:12.304448127,0001000000000003,PUSH_DATA,up,"{'phyPayload': 'QA4BAAIAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAApaPc/', 'ulID': '10fc', 'tmst': 1301946976, 'txInfo': {'frequency': 868.5, 'modulation': {'lora': {'bandwidth': 125000, 'spreadingFactor': 8, 'codeRate': '4/5'}}}, 'rxInfo': {'gatewayId': '0001000000000003', 'uplinkId': '10fc', 'time': '15:30:12.304448127', 'rssi': -121, 'snr': -3.7, 'context': 'unknown', 'crcStatus': 'unknown'}}","{'MHDR': {'MType': 2}, 'DevAddr': '0e010002', 'FCtrl': 0, 'Fcnt': 0, 'FPort': 1, 'FRMPayload': '2e316fee9cef652d4e592f57b155dc520eedebcc75f5f5c4'}"
15:30:12.509837150,0001000000000002,PUSH_DATA,up,"{'phyPayload': 'gHAAAAIAAAABAAAAAAAAAAAAAAAAAAAAAAAAAACyHOxf', 'ulID': 'a35e', 'tmst': 1302152286, 'txInfo': {'frequency': 868.5, 'modulation': {'lora': {'bandwidth': 125000, 'spreadingFactor': 9, 'codeRate': '4/5'}}}, 'rxInfo': {'gatewayId': '0001000000000002', 'uplinkId': 'a35e', 'time': '15:30:12.509837150', 'rssi': -121, 'snr': -3.6, 'context': 'unknown', 'crcStatus': 'unknown'}}","{'MHDR': {'MType': 4}, 'DevAddr': '70000002', 'FCtrl': 0, 'Fcnt': 0, 'FPort': 1, 'FRMPayload': 'e3e403844143ce5f2ab8c6166f6455f80ffff6c9f1d4bbfb'}"
15:30:12.925691127,0001000000000002,PULL_RESP,down,"{'downlinkId': '013a', 'uplinkId': 'a35e', 'tmst': 1303152286, 'items': [{'phyPayload': 'YHAAAAIgAAAbit3p', 'txInfo': {'frequency': 868.5, 'power': 14, 'modulation': {'lora': {'bandwidth': 125000, 'spreadingFactor': 9, 'codeRate': '4/5', 'polarizationInversion': True}}, 'timing': {'delay': {'delay': 1.0}}, 'context': 'UNKNOWN'}}, {}], 'gatewayId': '0001000000000002'}","{'MHDR': {'MType': 3}, 'DevAddr': '70000002', 'FCtrl': 32, 'Fcnt': 0, 'FPort': 27, 'FRMPayload': '6939ea'}"
