Time,ID, Address, FType,X,Y,Z,GWDist,Data Rate, Tx Power, Tx,CTx,UCTx, Rx,CRx,UCRx, HD-CUL,HD-UUL, TXdl,Rxdl, Rx1, Rx2, Rx1_s, Rx2_s, Rx1_dc, Rx2_dc, MaxOT, OT
3600,3,0000001|0000000000000000000000000,2,-79.7291,367.992,1,405.476,0,14,10,1,9,9,1,8,0,1,1,1,0,1,0,1,0,0
3600,4,0000001|0000000000000000000000001,4,268.802,463.394,1,463.776,0,14,11,11,0,7,7,0,0,0,6,5,0,6,0,5,0,0
3600,5,0000001|0000000000000000000000010,2,-127.972,321.255,1,343.651,2,14,15,1,14,12,0,12,0,0,0,0,0,0,0,0,0,0
3600,6,0000001|0000000000000000000000011,4,-45.7616,131.434,1,242.876,2,14,11,11,0,9,9,0,1,0,8,8,0,8,0,8,0,0
3600,7,0000001|0000000000000000000000100,2,173.29,-332.018,1,340.764,0,14,11,1,10,10,1,9,0,0,1,1,0,1,0,1,0,0
3600,8,0000001|0000000000000000000000101,2,60.3002,498.083,1,532.985,0,14,12,1,11,12,1,11,0,0,1,0,0,1,0,0,0,0
3600,9,0000001|0000000000000000000000110,2,321.264,268.561,1,277.856,2,14,8,0,8,5,0,5,0,1,0,0,0,0,0,0,0,0
3600,10,0000001|0000000000000000000000111,2,-201.182,-363.003,1,366.271,1,14,8,0,8,7,0,7,0,0,0,0,0,0,0,0,0,0
3600,11,0000001|0000000000000000000001000,4,-235.014,-196.458,1,197.029,3,14,11,11,0,9,9,0,1,0,8,4,8,0,4,0,0,0
3600,12,0000001|0000000000000000000001001,4,286.817,-4.68201,1,37.1164,5,14,9,9,0,7,7,0,1,0,6,4,6,0,4,0,0,0
3600,13,0000001|0000000000000000000001010,4,-156.345,120.631,1,152.719,4,14,11,11,0,8,8,0,0,0,7,3,7,0,3,0,0,0
3600,14,0000001|0000000000000000000001011,2,-137.28,440.281,1,454.482,0,14,10,1,9,9,0,9,1,0,0,0,0,0,0,0,0,0
3600,15,0000001|0000000000000000000001100,4,212.075,496.261,1,497.708,0,14,9,9,0,7,7,0,0,0,6,6,0,6,0,6,0,0
3600,16,0000001|0000000000000000000001101,4,-9.62559,-488.531,1,544.466,0,14,12,12,0,10,10,0,1,0,8,8,0,8,0,8,0,0
3600,17,0000001|0000000000000000000001110,2,404.599,-172.352,1,231.53,3,14,11,1,10,7,1,6,0,0,1,1,1,0,1,0,0,0
3600,18,0000001|0000000000000000000001111,2,-315.654,384.095,1,389.667,0,14,10,1,9,8,0,8,0,0,0,0,0,0,0,0,0,0
3600,19,0000001|0000000000000000000010000,2,-395.717,231.97,1,273.941,3,14,16,1,15,10,0,10,0,1,0,0,0,0,0,0,0,0
3600,20,0000001|0000000000000000000010001,4,89.8786,-116.753,1,198.167,2,14,15,15,0,14,14,0,0,0,10,9,0,10,0,9,0,0
3600,21,0000001|0000000000000000000010010,2,312.639,-402.273,1,407.121,0,14,12,1,11,9,1,8,0,1,1,1,0,1,0,1,0,0
3600,22,0000001|0000000000000000000010011,2,-450.251,-283.655,1,347.219,0,14,12,1,11,10,1,9,0,1,1,1,0,1,0,1,0,0
3600,23,0000001|0000000000000000000010100,2,-174.662,27.5551,1,80.2205,5,14,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0
3600,24,0000001|0000000000000000000010101,2,449.393,235.607,1,308.656,1,14,10,1,9,9,1,8,0,0,1,1,0,1,0,1,0,0
3600,25,0000001|0000000000000000000010110,2,-325.344,-195.612,1,209.621,3,14,9,0,9,6,0,6,0,0,0,0,0,0,0,0,0,0
3600,26,0000001|0000000000000000000010111,2,-42.2926,442.989,1,489.266,0,14,12,1,11,9,0,9,1,2,0,0,0,0,0,0,0,0
3600,27,0000001|0000000000000000000011000,2,-278.027,-399.261,1,400.244,1,14,11,1,10,9,0,9,0,0,0,0,0,0,0,0,0,0
3600,28,0000001|0000000000000000000011001,2,-157.144,-386.747,1,397.738,0,14,13,1,12,9,0,9,0,1,0,0,0,0,0,0,0,0
3600,29,0000001|0000000000000000000011010,4,194.313,-411.455,1,415.207,0,14,11,11,0,4,4,0,2,0,3,3,0,3,0,3,0,0
3600,30,0000001|0000000000000000000011011,4,-336.364,93.8163,1,127.517,5,14,8,8,0,4,4,0,0,0,4,4,4,0,4,0,0,0
3600,31,0000001|0000000000000000000011100,2,175.888,-332.912,1,341.062,0,14,7,0,7,6,0,6,0,0,0,0,0,0,0,0,0,0
3600,32,0000001|0000000000000000000011101,4,-325.267,-296.005,1,305.425,3,14,8,8,0,7,7,0,0,0,7,3,7,0,3,0,0,0
3600,33,0000001|0000000000000000000011110,2,236.575,-468.976,1,469.168,0,14,7,0,7,4,0,4,0,2,0,0,0,0,0,0,0,0
3600,34,0000001|0000000000000000000011111,2,-41.8074,-12.1125,1,208.545,3,14,7,0,7,4,0,4,0,2,0,0,0,0,0,0,0,0
3600,35,0000001|0000000000000000000100000,2,-162.196,275.193,1,288.862,2,14,12,1,11,9,1,8,0,0,0,0,0,0,0,0,0,0
3600,36,0000001|0000000000000000000100001,2,184.142,-256.168,1,264.499,5,14,10,1,9,5,0,5,0,1,0,0,0,0,0,0,0,0
3600,37,0000001|0000000000000000000100010,2,-271.398,53.2112,1,57.3545,5,14,13,1,12,12,1,11,0,0,1,1,1,0,1,0,0,0
3600,38,0000001|0000000000000000000100011,2,-290.275,457.16,1,458.931,0,14,12,1,11,8,1,7,0,0,1,0,0,1,0,0,0,0
3600,39,0000001|0000000000000000000100100,4,35.8639,199.744,1,292.835,2,14,10,10,0,8,8,0,0,0,6,6,0,6,0,6,0,0
3600,40,0000001|0000000000000000000100101,2,-340.735,-53.8723,1,105.524,5,14,13,1,12,12,1,11,0,0,0,0,0,0,0,0,0,0
3600,41,0000001|0000000000000000000100110,2,-136.225,-33.1736,1,118.513,5,14,8,0,8,6,0,6,0,0,0,0,0,0,0,0,0,0
3600,42,0000001|0000000000000000000100111,4,482.234,-329.973,1,403.503,1,14,10,10,0,8,8,0,0,0,3,3,0,3,0,3,0,0
3600,43,0000001|0000000000000000000101000,2,-47.513,137.822,1,244.941,2,14,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0
3600,44,0000001|0000000000000000000101001,4,-140.918,334.306,1,351.653,0,14,9,9,0,9,9,0,0,0,8,8,0,8,0,8,0,0
3600,45,0000001|0000000000000000000101010,2,286.843,-32.3899,1,49.0585,5,14,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0
3600,46,0000001|0000000000000000000101011,2,472.366,-82.2672,1,237.097,2,14,9,0,9,6,0,6,0,1,0,0,0,0,0,0,0,0
3600,47,0000001|0000000000000000000101100,2,-170.907,-249.467,1,261.705,2,14,8,0,8,7,0,7,0,0,0,0,0,0,0,0,0,0
3600,48,0000001|0000000000000000000101101,4,-207.34,-160.922,1,166.482,4,14,13,13,0,9,9,0,0,0,8,4,8,0,4,0,0,0
3600,49,0000001|0000000000000000000101110,4,497.998,-25.7286,1,249.33,2,14,10,10,0,8,8,0,0,0,7,7,0,7,0,7,0,0
3600,50,0000001|0000000000000000000101111,4,-460.015,-325.54,1,387.405,0,14,6,6,0,6,6,0,0,0,5,4,0,5,0,4,0,0
3600,51,0000001|0000000000000000000110000,4,-90.001,-457.422,1,484.598,0,14,10,10,0,7,7,0,2,0,7,6,0,7,0,6,0,0
3600,52,0000001|0000000000000000000110001,2,2.00649,86.6869,1,262.708,2,14,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0
3600,53,0000001|0000000000000000000110010,2,-450.127,-167.424,1,260.925,3,14,8,0,8,4,0,4,0,0,0,0,0,0,0,0,0,0
3600,54,0000001|0000000000000000000110011,4,417.246,-318.219,1,359.493,0,14,11,11,0,10,10,0,0,0,7,6,0,7,0,6,0,0
3600,55,0000001|0000000000000000000110100,4,-203.354,480.529,1,482.788,0,14,5,5,0,4,4,0,0,0,2,2,0,2,0,2,0,0
3600,56,0000001|0000000000000000000110101,2,-250.456,125.81,1,125.812,5,14,8,0,8,7,0,7,0,0,0,0,0,0,0,0,0,0
3600,57,0000001|0000000000000000000110110,4,-206.736,-221.63,1,225.814,2,14,7,7,0,4,4,0,0,0,4,4,0,4,0,4,0,0
3600,58,0000001|0000000000000000000110111,4,140.547,-461.619,1,474.418,0,14,5,5,0,4,4,0,1,0,2,2,0,2,0,2,0,0
3600,59,0000001|0000000000000000000111000,2,282.116,171.071,1,174.06,3,14,11,1,10,11,1,10,0,0,1,1,1,0,1,0,0,0
3600,60,0000001|0000000000000000000111001,4,-306.753,-171.002,1,180.174,4,14,11,11,0,9,9,0,0,0,6,0,6,0,0,0,0,0
3600,61,0000001|0000000000000000000111010,2,181.223,234.501,1,244.379,2,14,10,1,9,9,1,8,0,1,1,1,0,1,0,1,0,0
3600,62,0000001|0000000000000000000111011,2,-59.3661,-13.9898,1,191.147,4,14,8,0,8,7,0,7,0,0,0,0,0,0,0,0,0,0
3600,63,0000001|0000000000000000000111100,4,148.54,-195.073,1,219.882,3,14,13,13,0,8,8,0,0,0,7,5,6,1,4,1,0,0
3600,64,0000001|0000000000000000000111101,4,-275.084,102.317,1,105.348,5,14,8,8,0,7,7,0,0,0,7,4,7,0,4,0,0,0
3600,65,0000001|0000000000000000000111110,4,-229.519,220.613,1,221.563,2,14,15,15,0,12,12,0,1,0,9,9,0,9,0,9,0,0
3600,66,0000001|0000000000000000000111111,4,-212.07,360.856,1,362.845,1,14,11,11,0,9,9,0,1,0,4,4,0,4,0,4,0,0
3600,67,0000001|0000000000000000001000000,2,-383.422,-231.252,1,266.982,2,14,10,1,9,9,0,9,0,0,0,0,0,0,0,0,0,0
3600,68,0000001|0000000000000000001000001,4,-399.662,-245.491,1,287.515,2,14,12,12,0,9,9,0,0,0,9,8,0,9,0,8,0,0
3600,69,0000001|0000000000000000001000010,4,-370.65,-130.311,1,177.589,4,14,7,7,0,6,6,0,0,0,6,3,6,0,3,0,0,0
3600,70,0000001|0000000000000000001000011,2,356.094,-7.53393,1,106.363,5,14,11,1,10,9,1,8,0,0,1,1,1,0,1,0,0,0
3600,71,0000001|0000000000000000001000100,4,300.15,451.889,1,454.664,0,14,6,6,0,6,6,0,0,0,3,3,0,3,0,3,0,0
3600,72,0000001|0000000000000000001000101,4,98.8464,-143.336,1,208.31,4,14,10,10,0,7,7,0,0,0,7,2,7,0,2,0,0,0
3600,73,0000001|0000000000000000001000110,2,-242.372,-102.471,1,102.756,5,14,11,1,10,9,0,9,1,0,0,0,0,0,0,0,0,0
3600,74,0000001|0000000000000000001000111,4,57.6498,-155.28,1,247.206,4,14,10,10,0,9,9,0,0,0,8,3,8,0,3,0,0,0
3600,75,0000001|0000000000000000001001000,2,135.935,94.5712,1,148.172,3,14,12,1,11,11,1,10,0,0,1,1,1,0,1,0,0,0
3600,76,0000001|0000000000000000001001001,4,171.485,-295.444,1,305.699,1,14,12,12,0,8,8,0,2,0,8,8,0,8,0,8,0,0
3600,77,0000001|0000000000000000001001010,2,-90.972,-149.528,1,218.286,3,14,12,1,11,10,1,9,0,0,0,0,0,0,0,0,0,0
3600,78,0000001|0000000000000000001001011,4,262.623,29.6068,1,32.1894,5,14,13,13,0,12,12,0,1,0,11,10,11,0,10,0,0,0
