gatewayID,Received,Interfered,No Receivers, Under, GW busy, unset
1,4015,1942,264,0,358,1451
EndDeviceID,X,Y,Z,SF
2,-79.7291,367.992,1,12,
3,268.802,463.394,1,11,
4,-127.972,321.255,1,12,
5,-45.7616,131.434,1,7,
6,173.29,-332.018,1,11,
7,60.3002,498.083,1,12,
8,321.264,268.561,1,12,
9,-201.182,-363.003,1,12,
10,-235.014,-196.458,1,11,
11,286.817,-4.68201,1,10,
12,-156.345,120.631,1,9,
13,-137.28,440.281,1,12,
14,212.075,496.261,1,12,
15,-9.62559,-488.531,1,12,
16,404.599,-172.352,1,12,
17,-315.654,384.095,1,11,
18,-395.717,231.97,1,12,
19,89.8786,-116.753,1,7,
20,312.639,-402.273,1,12,
21,-450.251,-283.655,1,12,
22,-174.662,27.5551,1,8,
23,449.393,235.607,1,12,
24,-325.344,-195.612,1,11,
25,-42.2926,442.989,1,12,
26,-278.027,-399.261,1,12,
27,-157.144,-386.747,1,12,
28,194.313,-411.455,1,12,
29,-336.364,93.8163,1,11,
30,175.888,-332.912,1,10,
31,-325.267,-296.005,1,12,
32,236.575,-468.976,1,10,
33,-41.8074,-12.1125,1,7,
34,-162.196,275.193,1,10,
35,184.142,-256.168,1,12,
36,-271.398,53.2112,1,10,
37,-290.275,457.16,1,12,
38,35.8639,199.744,1,8,
39,-340.735,-53.8723,1,12,
40,-136.225,-33.1736,1,8,
41,482.234,-329.973,1,12,
42,-47.513,137.822,1,9,
43,-140.918,334.306,1,9,
44,286.843,-32.3899,1,9,
45,472.366,-82.2672,1,12,
46,-170.907,-249.467,1,10,
47,-207.34,-160.922,1,9,
48,497.998,-25.7286,1,12,
49,-460.015,-325.54,1,12,
50,-90.001,-457.422,1,12,
51,2.00649,86.6869,1,7,
52,-450.127,-167.424,1,10,
53,417.246,-318.219,1,12,
54,-203.354,480.529,1,10,
55,-250.456,125.81,1,9,
56,-206.736,-221.63,1,11,
57,140.547,-461.619,1,12,
58,282.116,171.071,1,11,
59,-306.753,-171.002,1,12,
60,181.223,234.501,1,8,
61,-59.3661,-13.9898,1,7,
62,148.54,-195.073,1,10,
63,-275.084,102.317,1,12,
64,-229.519,220.613,1,10,
65,-212.07,360.856,1,11,
66,-383.422,-231.252,1,12,
67,-399.662,-245.491,1,12,
68,-370.65,-130.311,1,12,
69,356.094,-7.53393,1,12,
70,300.15,451.889,1,12,
71,98.8464,-143.336,1,9,
72,-242.372,-102.471,1,10,
73,57.6498,-155.28,1,9,
74,135.935,94.5712,1,9,
75,171.485,-295.444,1,12,
76,-90.972,-149.528,1,8,
77,262.623,29.6068,1,11,
78,305.482,203.856,1,12,
79,79.4735,243.782,1,9,
80,268.665,121.152,1,11,
81,-206.751,-351.725,1,11,
82,-284.203,59.3585,1,9,
83,-272.751,-275.038,1,10,
84,157.453,475.472,1,12,
