gatewayID,Received,Interfered,No Receivers, Under, GW busy, unset
1,4118,1733,82,0,347,1956
2,4118,1658,91,0,381,1988
EndDeviceID,X,Y,Z,SF
3,-79.7291,367.992,1,10,
4,268.802,463.394,1,12,
5,-127.972,321.255,1,12,
6,-45.7616,131.434,1,9,
7,173.29,-332.018,1,12,
8,60.3002,498.083,1,12,
9,321.264,268.561,1,11,
10,-201.182,-363.003,1,11,
11,-235.014,-196.458,1,7,
12,286.817,-4.68201,1,7,
13,-156.345,120.631,1,7,
14,-137.28,440.281,1,12,
15,212.075,496.261,1,12,
16,-9.62559,-488.531,1,12,
17,404.599,-172.352,1,10,
18,-315.654,384.095,1,12,
19,-395.717,231.97,1,10,
20,89.8786,-116.753,1,9,
21,312.639,-402.273,1,11,
22,-450.251,-283.655,1,12,
23,-174.662,27.5551,1,7,
24,449.393,235.607,1,10,
25,-325.344,-195.612,1,8,
26,-42.2926,442.989,1,12,
27,-278.027,-399.261,1,10,
28,-157.144,-386.747,1,12,
29,194.313,-411.455,1,11,
30,-336.364,93.8163,1,7,
31,175.888,-332.912,1,11,
32,-325.267,-296.005,1,8,
33,236.575,-468.976,1,12,
34,-41.8074,-12.1125,1,10,
35,-162.196,275.193,1,12,
36,184.142,-256.168,1,9,
37,-271.398,53.2112,1,7,
38,-290.275,457.16,1,12,
39,35.8639,199.744,1,10,
40,-340.735,-53.8723,1,7,
41,-136.225,-33.1736,1,7,
42,482.234,-329.973,1,12,
43,-47.513,137.822,1,10,
44,-140.918,334.306,1,9,
45,286.843,-32.3899,1,7,
46,472.366,-82.2672,1,11,
47,-170.907,-249.467,1,9,
48,-207.34,-160.922,1,8,
49,497.998,-25.7286,1,11,
50,-460.015,-325.54,1,10,
51,-90.001,-457.422,1,11,
52,2.00649,86.6869,1,10,
53,-450.127,-167.424,1,9,
54,417.246,-318.219,1,11,
55,-203.354,480.529,1,12,
56,-250.456,125.81,1,7,
57,-206.736,-221.63,1,10,
58,140.547,-461.619,1,12,
59,282.116,171.071,1,9,
60,-306.753,-171.002,1,8,
61,181.223,234.501,1,11,
62,-59.3661,-13.9898,1,8,
63,148.54,-195.073,1,9,
64,-275.084,102.317,1,7,
65,-229.519,220.613,1,8,
66,-212.07,360.856,1,11,
67,-383.422,-231.252,1,9,
68,-399.662,-245.491,1,10,
69,-370.65,-130.311,1,8,
70,356.094,-7.53393,1,7,
71,300.15,451.889,1,12,
72,98.8464,-143.336,1,8,
73,-242.372,-102.471,1,7,
74,57.6498,-155.28,1,9,
75,135.935,94.5712,1,8,
76,171.485,-295.444,1,10,
77,-90.972,-149.528,1,9,
78,262.623,29.6068,1,7,
79,305.482,203.856,1,10,
80,79.4735,243.782,1,9,
81,268.665,121.152,1,8,
82,-206.751,-351.725,1,12,
83,-284.203,59.3585,1,7,
84,-272.751,-275.038,1,9,
85,157.453,475.472,1,12,
86,-19.0141,173.008,1,10,
87,-446.919,-454.69,1,12,
